Index,URL,HTML Folder
1,zgtnb.cn/,phishing_resources/fully_downloaded_web_pages/1_zgtnb/zgtnb.cn/index.html
2,nacliwu.cn/,phishing_resources/fully_downloaded_web_pages/2_nacliwu/nacliwu.cn/index.html
3,sjrlo.cn/,phishing_resources/fully_downloaded_web_pages/3_sjrlo/sjrlo.cn/index.html
4,qmmoxe.cn/,phishing_resources/fully_downloaded_web_pages/4_qmmoxe/qmmoxe.cn/index.html
5,ybosmod.cn/,phishing_resources/fully_downloaded_web_pages/5_ybosmod/ybosmod.cn/index.html
6,xrrlqbu.cn/,phishing_resources/fully_downloaded_web_pages/6_xrrlqbu/xrrlqbu.cn/index.html
7,feehe.cn/,phishing_resources/fully_downloaded_web_pages/7_feehe/feehe.cn/index.html
8,pseit.cn/,phishing_resources/fully_downloaded_web_pages/8_pseit/pseit.cn/index.html
9,studiow.cn/,phishing_resources/fully_downloaded_web_pages/9_studiow/studiow.cn/index.html
10,tejcy.cn/,phishing_resources/fully_downloaded_web_pages/10_tejcy/tejcy.cn/index.html
11,zimqu.cn/,phishing_resources/fully_downloaded_web_pages/11_zimqu/zimqu.cn/index.html
16,klrcqhi.cn/,phishing_resources/fully_downloaded_web_pages/16_klrcqhi/klrcqhi.cn/index.html
17,ygpkb.cn/,phishing_resources/fully_downloaded_web_pages/17_ygpkb/ygpkb.cn/index.html
18,tmira.cn/,phishing_resources/fully_downloaded_web_pages/18_tmira/tmira.cn/index.html
19,wbvkgst.cn/,phishing_resources/fully_downloaded_web_pages/19_wbvkgst/wbvkgst.cn/index.html
19,escolasobidos.net/dt/,phishing_resources/fully_downloaded_web_pages/20_escolasobidos/escolasobidos.net/dt/index.html
19,request-page-violation-05.surge.sh/,phishing_resources/fully_downloaded_web_pages/19_surge/request-page-violation-05.surge.sh/index.html
20,metamskelogig.webflow.io/,phishing_resources/fully_downloaded_web_pages/20_webflow/metamskelogig.webflow.io/index.html
21,riverwalkvisitorsguide.org/itauchamaco/,phishing_resources/fully_downloaded_web_pages/22_riverwalkvisitorsguide/riverwalkvisitorsguide.org/itauchamaco/index.html
